iteration 450 performed, best fitness : 1383.54
iteration 451 performed, best fitness : 1383.66
iteration 452 performed, best fitness : 1382.85
iteration 453 performed, best fitness : 1382.5
iteration 454 performed, best fitness : 1383.34
iteration 455 performed, best fitness : 1382.97
iteration 456 performed, best fitness : 1382.99
iteration 457 performed, best fitness : 1382.93
iteration 458 performed, best fitness : 1384.29
iteration 459 performed, best fitness : 1383.74
iteration 460 performed, best fitness : 1383.47
iteration 461 performed, best fitness : 1382.96
iteration 462 performed, best fitness : 1383.43
iteration 463 performed, best fitness : 1383.97
iteration 464 performed, best fitness : 1384.1
iteration 465 performed, best fitness : 1383.82
iteration 466 performed, best fitness : 1383.99
iteration 467 performed, best fitness : 1383.69
iteration 468 performed, best fitness : 1384.74
iteration 469 performed, best fitness : 1385.87
iteration 470 performed, best fitness : 1383.61
iteration 471 performed, best fitness : 1383.01
iteration 472 performed, best fitness : 1383.06
iteration 473 performed, best fitness : 1383.55
iteration 474 performed, best fitness : 1383.69
iteration 475 performed, best fitness : 1384.02
iteration 476 performed, best fitness : 1383.92
iteration 477 performed, best fitness : 1383.01
iteration 478 performed, best fitness : 1384.3
iteration 479 performed, best fitness : 1384.45
iteration 480 performed, best fitness : 1384.46
iteration 481 performed, best fitness : 1384.48
iteration 482 performed, best fitness : 1384.29
iteration 483 performed, best fitness : 1385.14
iteration 484 performed, best fitness : 1384.46
iteration 485 performed, best fitness : 1384.95
iteration 486 performed, best fitness : 1384.27
iteration 487 performed, best fitness : 1385.79
iteration 488 performed, best fitness : 1384.86
iteration 489 performed, best fitness : 1384.66
iteration 490 performed, best fitness : 1384.78
iteration 491 performed, best fitness : 1385.2
iteration 492 performed, best fitness : 1384.99
iteration 493 performed, best fitness : 1384.32
iteration 494 performed, best fitness : 1384.29
iteration 495 performed, best fitness : 1385.37
iteration 496 performed, best fitness : 1383.82
iteration 497 performed, best fitness : 1384.63
iteration 498 performed, best fitness : 1386.15
iteration 499 performed, best fitness : 1384.37
iteration 500 performed, best fitness : 1384.74
iteration 501 performed, best fitness : 1384.61
iteration 502 performed, best fitness : 1384.95
iteration 503 performed, best fitness : 1385.36
iteration 504 performed, best fitness : 1384.51
iteration 505 performed, best fitness : 1384.67
iteration 506 performed, best fitness : 1384.53
iteration 507 performed, best fitness : 1384.94
iteration 508 performed, best fitness : 1384.86
iteration 509 performed, best fitness : 1384.6
iteration 510 performed, best fitness : 1384.03
iteration 511 performed, best fitness : 1385.27
iteration 512 performed, best fitness : 1386.3
iteration 513 performed, best fitness : 1385.28
iteration 514 performed, best fitness : 1386.27
iteration 515 performed, best fitness : 1385.69
iteration 516 performed, best fitness : 1385.98
iteration 517 performed, best fitness : 1384.6
iteration 518 performed, best fitness : 1384.47
iteration 519 performed, best fitness : 1383.98
iteration 520 performed, best fitness : 1385.39
iteration 521 performed, best fitness : 1387.37
iteration 522 performed, best fitness : 1384.79
iteration 523 performed, best fitness : 1384.62
iteration 524 performed, best fitness : 1383.93
iteration 525 performed, best fitness : 1384.3
iteration 526 performed, best fitness : 1385.3
iteration 527 performed, best fitness : 1384.16
iteration 528 performed, best fitness : 1385.88
iteration 529 performed, best fitness : 1385.25
iteration 530 performed, best fitness : 1385.66
iteration 531 performed, best fitness : 1385.42
iteration 532 performed, best fitness : 1385.85
iteration 533 performed, best fitness : 1385.7
iteration 534 performed, best fitness : 1387.11
iteration 535 performed, best fitness : 1384.42
iteration 536 performed, best fitness : 1385.36
iteration 537 performed, best fitness : 1385.77
iteration 538 performed, best fitness : 1385.6
iteration 539 performed, best fitness : 1385.63
iteration 540 performed, best fitness : 1386.43
iteration 541 performed, best fitness : 1386.27
iteration 542 performed, best fitness : 1386.22
iteration 543 performed, best fitness : 1386.12
iteration 544 performed, best fitness : 1386.84
iteration 545 performed, best fitness : 1386.42
iteration 546 performed, best fitness : 1386.97
iteration 547 performed, best fitness : 1386.46
iteration 548 performed, best fitness : 1387.14
iteration 549 performed, best fitness : 1387.8
iteration 550 performed, best fitness : 1387.36
iteration 551 performed, best fitness : 1387.01
iteration 552 performed, best fitness : 1386.84
iteration 553 performed, best fitness : 1386.5
iteration 554 performed, best fitness : 1386.65
iteration 555 performed, best fitness : 1387.03
iteration 556 performed, best fitness : 1387.25
iteration 557 performed, best fitness : 1387.45
iteration 558 performed, best fitness : 1387.19
iteration 559 performed, best fitness : 1388.34
iteration 560 performed, best fitness : 1388.42
iteration 561 performed, best fitness : 1388.22
iteration 562 performed, best fitness : 1388.69
iteration 563 performed, best fitness : 1389.54
iteration 564 performed, best fitness : 1388.5
iteration 565 performed, best fitness : 1389.22
iteration 566 performed, best fitness : 1389.09
iteration 567 performed, best fitness : 1387.95
iteration 568 performed, best fitness : 1387.98
iteration 569 performed, best fitness : 1388.12
iteration 570 performed, best fitness : 1388.75
iteration 571 performed, best fitness : 1388.28
iteration 572 performed, best fitness : 1390.27
iteration 573 performed, best fitness : 1390.31
iteration 574 performed, best fitness : 1389.4
iteration 575 performed, best fitness : 1389.54
iteration 576 performed, best fitness : 1390.22
iteration 577 performed, best fitness : 1389.73
iteration 578 performed, best fitness : 1389.54
iteration 579 performed, best fitness : 1389.43
iteration 580 performed, best fitness : 1390.8
iteration 581 performed, best fitness : 1389.76
iteration 582 performed, best fitness : 1389.29
iteration 583 performed, best fitness : 1388.74
iteration 584 performed, best fitness : 1388.95
iteration 585 performed, best fitness : 1390.83
iteration 586 performed, best fitness : 1391.57
iteration 587 performed, best fitness : 1390.1
iteration 588 performed, best fitness : 1392.25
iteration 589 performed, best fitness : 1390.7
iteration 590 performed, best fitness : 1390.49
iteration 591 performed, best fitness : 1390.72
