iteration 680 performed, best fitness : 1097.72
iteration 681 performed, best fitness : 1097.71
iteration 682 performed, best fitness : 1097.9
iteration 683 performed, best fitness : 1097.74
iteration 684 performed, best fitness : 1097.77
iteration 685 performed, best fitness : 1097.91
iteration 686 performed, best fitness : 1097.73
iteration 687 performed, best fitness : 1097.75
iteration 688 performed, best fitness : 1097.64
iteration 689 performed, best fitness : 1097.61
iteration 690 performed, best fitness : 1097.76
iteration 691 performed, best fitness : 1097.65
iteration 692 performed, best fitness : 1098.03
iteration 693 performed, best fitness : 1097.73
iteration 694 performed, best fitness : 1097.73
iteration 695 performed, best fitness : 1097.99
iteration 696 performed, best fitness : 1097.71
iteration 697 performed, best fitness : 1097.73
iteration 698 performed, best fitness : 1097.79
iteration 699 performed, best fitness : 1097.72
iteration 700 performed, best fitness : 1097.8
iteration 701 performed, best fitness : 1097.75
iteration 702 performed, best fitness : 1098.01
iteration 703 performed, best fitness : 1097.8
iteration 704 performed, best fitness : 1097.8
iteration 705 performed, best fitness : 1097.82
iteration 706 performed, best fitness : 1097.79
