iteration 468 performed, best fitness : 1391.23
iteration 469 performed, best fitness : 1390.48
iteration 470 performed, best fitness : 1390.28
iteration 471 performed, best fitness : 1390.27
iteration 472 performed, best fitness : 1390.33
iteration 473 performed, best fitness : 1390.64
iteration 474 performed, best fitness : 1390.5
iteration 475 performed, best fitness : 1390.9
iteration 476 performed, best fitness : 1391.4
iteration 477 performed, best fitness : 1390.67
iteration 478 performed, best fitness : 1390.68
iteration 479 performed, best fitness : 1391.4
iteration 480 performed, best fitness : 1392.18
iteration 481 performed, best fitness : 1390.32
iteration 482 performed, best fitness : 1390.73
iteration 483 performed, best fitness : 1392.32
iteration 484 performed, best fitness : 1392.62
iteration 485 performed, best fitness : 1391.07
iteration 486 performed, best fitness : 1391.22
iteration 487 performed, best fitness : 1390.92
iteration 488 performed, best fitness : 1391.29
iteration 489 performed, best fitness : 1390.85
iteration 490 performed, best fitness : 1390.71
iteration 491 performed, best fitness : 1390.82
iteration 492 performed, best fitness : 1391
iteration 493 performed, best fitness : 1391.32
iteration 494 performed, best fitness : 1391.42
iteration 495 performed, best fitness : 1391.18
iteration 496 performed, best fitness : 1391.94
iteration 497 performed, best fitness : 1391.41
iteration 498 performed, best fitness : 1391.92
iteration 499 performed, best fitness : 1391.5
iteration 500 performed, best fitness : 1391.64
iteration 501 performed, best fitness : 1391.48
iteration 502 performed, best fitness : 1391.11
iteration 503 performed, best fitness : 1391.57
iteration 504 performed, best fitness : 1391.32
iteration 505 performed, best fitness : 1391.38
iteration 506 performed, best fitness : 1392.2
iteration 507 performed, best fitness : 1391.64
iteration 508 performed, best fitness : 1391.17
iteration 509 performed, best fitness : 1392.08
iteration 510 performed, best fitness : 1393.7
iteration 511 performed, best fitness : 1393.68
iteration 512 performed, best fitness : 1392.21
iteration 513 performed, best fitness : 1392.76
iteration 514 performed, best fitness : 1391.99
iteration 515 performed, best fitness : 1392.16
iteration 516 performed, best fitness : 1392.18
iteration 517 performed, best fitness : 1392.99
iteration 518 performed, best fitness : 1392.8
iteration 519 performed, best fitness : 1393.56
iteration 520 performed, best fitness : 1392.39
iteration 521 performed, best fitness : 1392.06
iteration 522 performed, best fitness : 1392.25
iteration 523 performed, best fitness : 1392.51
iteration 524 performed, best fitness : 1392.48
iteration 525 performed, best fitness : 1393.36
iteration 526 performed, best fitness : 1393.44
iteration 527 performed, best fitness : 1393.17
iteration 528 performed, best fitness : 1392.77
iteration 529 performed, best fitness : 1393.15
iteration 530 performed, best fitness : 1394.48
iteration 531 performed, best fitness : 1392.52
iteration 532 performed, best fitness : 1394.27
iteration 533 performed, best fitness : 1393.26
iteration 534 performed, best fitness : 1394.2
iteration 535 performed, best fitness : 1392.89
iteration 536 performed, best fitness : 1392.7
iteration 537 performed, best fitness : 1393.7
iteration 538 performed, best fitness : 1392.97
iteration 539 performed, best fitness : 1393.53
iteration 540 performed, best fitness : 1393.42
iteration 541 performed, best fitness : 1393.51
iteration 542 performed, best fitness : 1392.71
iteration 543 performed, best fitness : 1393.16
iteration 544 performed, best fitness : 1392.52
iteration 545 performed, best fitness : 1393.38
iteration 546 performed, best fitness : 1393.23
iteration 547 performed, best fitness : 1392.1
iteration 548 performed, best fitness : 1392.4
iteration 549 performed, best fitness : 1392.92
iteration 550 performed, best fitness : 1393.36
iteration 551 performed, best fitness : 1392.32
iteration 552 performed, best fitness : 1392.75
iteration 553 performed, best fitness : 1393.13
iteration 554 performed, best fitness : 1391.93
iteration 555 performed, best fitness : 1395.56
iteration 556 performed, best fitness : 1392.63
iteration 557 performed, best fitness : 1392.66
iteration 558 performed, best fitness : 1392.11
iteration 559 performed, best fitness : 1392.74
iteration 560 performed, best fitness : 1393.37
iteration 561 performed, best fitness : 1392.33
iteration 562 performed, best fitness : 1390.92
iteration 563 performed, best fitness : 1392.83
iteration 564 performed, best fitness : 1392.49
iteration 565 performed, best fitness : 1391.45
iteration 566 performed, best fitness : 1392.46
iteration 567 performed, best fitness : 1391.81
iteration 568 performed, best fitness : 1392.93
iteration 569 performed, best fitness : 1392.38
iteration 570 performed, best fitness : 1393.33
iteration 571 performed, best fitness : 1392.34
iteration 572 performed, best fitness : 1392.97
iteration 573 performed, best fitness : 1392.43
iteration 574 performed, best fitness : 1393.39
iteration 575 performed, best fitness : 1393.11
iteration 576 performed, best fitness : 1394.07
iteration 577 performed, best fitness : 1392.5
iteration 578 performed, best fitness : 1392.99
iteration 579 performed, best fitness : 1392.94
iteration 580 performed, best fitness : 1392.95
iteration 581 performed, best fitness : 1393.3
iteration 582 performed, best fitness : 1393.29
iteration 583 performed, best fitness : 1393.61
iteration 584 performed, best fitness : 1393.66
iteration 585 performed, best fitness : 1392.92
iteration 586 performed, best fitness : 1393.31
iteration 587 performed, best fitness : 1393.13
iteration 588 performed, best fitness : 1393.81
iteration 589 performed, best fitness : 1393.31
iteration 590 performed, best fitness : 1393.05
iteration 591 performed, best fitness : 1393.2
iteration 592 performed, best fitness : 1394.39
iteration 593 performed, best fitness : 1393.31
iteration 594 performed, best fitness : 1393.64
iteration 595 performed, best fitness : 1393.73
