iteration 504 performed, best fitness : 812.324
iteration 505 performed, best fitness : 693.823
iteration 506 performed, best fitness : 712.673
iteration 507 performed, best fitness : 734.263
iteration 508 performed, best fitness : 758.759
iteration 509 performed, best fitness : 802.759
iteration 510 performed, best fitness : 755.03
iteration 511 performed, best fitness : 763.905
iteration 512 performed, best fitness : 672.357
iteration 513 performed, best fitness : 739.368
iteration 514 performed, best fitness : 692.803
iteration 515 performed, best fitness : 749.962
iteration 516 performed, best fitness : 819.005
iteration 517 performed, best fitness : 759.015
iteration 518 performed, best fitness : 795.766
iteration 519 performed, best fitness : 799.283
iteration 520 performed, best fitness : 864.087
iteration 521 performed, best fitness : 779.663
iteration 522 performed, best fitness : 811.294
iteration 523 performed, best fitness : 787.709
iteration 524 performed, best fitness : 894.035
iteration 525 performed, best fitness : 836.593
iteration 526 performed, best fitness : 832.798
iteration 527 performed, best fitness : 878.88
iteration 528 performed, best fitness : 849.109
iteration 529 performed, best fitness : 828.021
iteration 530 performed, best fitness : 962.252
iteration 531 performed, best fitness : 921.105
iteration 532 performed, best fitness : 850.665
iteration 533 performed, best fitness : 959.295
iteration 534 performed, best fitness : 951.843
iteration 535 performed, best fitness : 926.545
iteration 536 performed, best fitness : 845.722
iteration 537 performed, best fitness : 916.643
iteration 538 performed, best fitness : 839.129
iteration 539 performed, best fitness : 1014.16
iteration 540 performed, best fitness : 1024.88
iteration 541 performed, best fitness : 949.817
iteration 542 performed, best fitness : 911.295
iteration 543 performed, best fitness : 995.176
iteration 544 performed, best fitness : 1254.76
iteration 545 performed, best fitness : 1004.44
iteration 546 performed, best fitness : 1045.86
iteration 547 performed, best fitness : 933.7
iteration 548 performed, best fitness : 1104.26
iteration 549 performed, best fitness : 1027.67
iteration 550 performed, best fitness : 985.289
iteration 551 performed, best fitness : 1027.9
iteration 552 performed, best fitness : 902.335
iteration 553 performed, best fitness : 993.756
iteration 554 performed, best fitness : 865.287
iteration 555 performed, best fitness : 1027.1
iteration 556 performed, best fitness : 1028.11
iteration 557 performed, best fitness : 1026.37
iteration 558 performed, best fitness : 1027.19
iteration 559 performed, best fitness : 1073.43
iteration 560 performed, best fitness : 1045.97
iteration 561 performed, best fitness : 1029.95
iteration 562 performed, best fitness : 1041.38
iteration 563 performed, best fitness : 1035.77
iteration 564 performed, best fitness : 1028.78
iteration 565 performed, best fitness : 1050.34
iteration 566 performed, best fitness : 1085.86
iteration 567 performed, best fitness : 1107.91
iteration 568 performed, best fitness : 1043.01
iteration 569 performed, best fitness : 1090.72
iteration 570 performed, best fitness : 1078.24
iteration 571 performed, best fitness : 1105.17
iteration 572 performed, best fitness : 1128.02
iteration 573 performed, best fitness : 1070.96
iteration 574 performed, best fitness : 1102.59
iteration 575 performed, best fitness : 1073.95
iteration 576 performed, best fitness : 1048.47
iteration 577 performed, best fitness : 1055.08
iteration 578 performed, best fitness : 1054.24
iteration 579 performed, best fitness : 1062.15
iteration 580 performed, best fitness : 1057.42
iteration 581 performed, best fitness : 1050.84
iteration 582 performed, best fitness : 1062.93
iteration 583 performed, best fitness : 1058.79
iteration 584 performed, best fitness : 1081.64
iteration 585 performed, best fitness : 1063.67
iteration 586 performed, best fitness : 1094.67
iteration 587 performed, best fitness : 1081.77
iteration 588 performed, best fitness : 1127.6
iteration 589 performed, best fitness : 1082.13
iteration 590 performed, best fitness : 1076.22
iteration 591 performed, best fitness : 1063.89
iteration 592 performed, best fitness : 1059.27
iteration 593 performed, best fitness : 1080.72
iteration 594 performed, best fitness : 1069.13
iteration 595 performed, best fitness : 1057.67
iteration 596 performed, best fitness : 1060.72
iteration 597 performed, best fitness : 1065.96
iteration 598 performed, best fitness : 1064.18
iteration 599 performed, best fitness : 1065.2
iteration 600 performed, best fitness : 1063.55
iteration 601 performed, best fitness : 1079.18
iteration 602 performed, best fitness : 1066.57
iteration 603 performed, best fitness : 1065.56
iteration 604 performed, best fitness : 1073.18
iteration 605 performed, best fitness : 1067.29
iteration 606 performed, best fitness : 1077.65
iteration 607 performed, best fitness : 1087.73
iteration 608 performed, best fitness : 1095.64
iteration 609 performed, best fitness : 1080.45
iteration 610 performed, best fitness : 1074.32
iteration 611 performed, best fitness : 1066.78
iteration 612 performed, best fitness : 1079.78
iteration 613 performed, best fitness : 1077.78
iteration 614 performed, best fitness : 1101.17
iteration 615 performed, best fitness : 1096.32
iteration 616 performed, best fitness : 1079.75
iteration 617 performed, best fitness : 1081.05
iteration 618 performed, best fitness : 1081
iteration 619 performed, best fitness : 1095.46
iteration 620 performed, best fitness : 1081.92
iteration 621 performed, best fitness : 1107.11
iteration 622 performed, best fitness : 1104.17
iteration 623 performed, best fitness : 1093
iteration 624 performed, best fitness : 1111.29
iteration 625 performed, best fitness : 1095.71
iteration 626 performed, best fitness : 1100.38
iteration 627 performed, best fitness : 1142.54
iteration 628 performed, best fitness : 1114.45
iteration 629 performed, best fitness : 1159.65
iteration 630 performed, best fitness : 1156.79
iteration 631 performed, best fitness : 1140.47
iteration 632 performed, best fitness : 1108.28
iteration 633 performed, best fitness : 1136.33
iteration 634 performed, best fitness : 1117.68
iteration 635 performed, best fitness : 1094.82
iteration 636 performed, best fitness : 1103.87
iteration 637 performed, best fitness : 1105.1
iteration 638 performed, best fitness : 1132.15
iteration 639 performed, best fitness : 1107.07
iteration 640 performed, best fitness : 1162.71
iteration 641 performed, best fitness : 1133.89
iteration 642 performed, best fitness : 1127.38
iteration 643 performed, best fitness : 1116.06
iteration 644 performed, best fitness : 1106.72
iteration 645 performed, best fitness : 1103.91
iteration 646 performed, best fitness : 1116.21
iteration 647 performed, best fitness : 1114.94
iteration 648 performed, best fitness : 1137.37
iteration 649 performed, best fitness : 1108.87
iteration 650 performed, best fitness : 1137.4
iteration 651 performed, best fitness : 1104.79
iteration 652 performed, best fitness : 1095.95
iteration 653 performed, best fitness : 1113.42
iteration 654 performed, best fitness : 1124.13
iteration 655 performed, best fitness : 1116.82
iteration 656 performed, best fitness : 1141.76
iteration 657 performed, best fitness : 1116.79
iteration 658 performed, best fitness : 1130.64
iteration 659 performed, best fitness : 1141.35
iteration 660 performed, best fitness : 1100.98
iteration 661 performed, best fitness : 1105.07
iteration 662 performed, best fitness : 1126.7
iteration 663 performed, best fitness : 1103.09
iteration 664 performed, best fitness : 1119.11
iteration 665 performed, best fitness : 1114.46
iteration 666 performed, best fitness : 1114.31
iteration 667 performed, best fitness : 1120.25
iteration 668 performed, best fitness : 1106.67
iteration 669 performed, best fitness : 1127.89
iteration 670 performed, best fitness : 1116.14
iteration 671 performed, best fitness : 1116.39
iteration 672 performed, best fitness : 1112.71
iteration 673 performed, best fitness : 1110.68
iteration 674 performed, best fitness : 1114.38
iteration 675 performed, best fitness : 1151.06
iteration 676 performed, best fitness : 1136.16
iteration 677 performed, best fitness : 1147.77
iteration 678 performed, best fitness : 1109.05
iteration 679 performed, best fitness : 1130.55
iteration 680 performed, best fitness : 1137.62
iteration 681 performed, best fitness : 1138.66
iteration 682 performed, best fitness : 1152.18
iteration 683 performed, best fitness : 1165.73
iteration 684 performed, best fitness : 1123.93
iteration 685 performed, best fitness : 1168.32
iteration 686 performed, best fitness : 1143.86
iteration 687 performed, best fitness : 1114.87
iteration 688 performed, best fitness : 1108.71
iteration 689 performed, best fitness : 1143.49
iteration 690 performed, best fitness : 1123.46
iteration 691 performed, best fitness : 1143.52
